"dataset","2 Features","3 Features","4 Features","5 Features","6 Features","7 Features","method"
"arrhythemia",0.481992857,0.447442857,0.416703571,0.409117857,0.404242857,0.422575,"FA"
"autos",0.583585714,0.492767857,0.494989286,0.496560714,0.491246429,0.493964286,"FA"
"audiology",0.628875,0.613714286,0.614685714,0.601296429,0.609392857,0.591278571,"FA"
"abalone",0.785492857,0.786903571,0.781396429,0.771135714,0.772489286,0.774196429,"FA"
"bridge",0.463742857,0.476439286,0.475689286,0.497514286,0.480007143,0.451178571,"FA"
"car",0.2998,0.247732143,0.210753571,0.244717857,0.216539286,0.235989286,"FA"
"cmc",0.56245,0.571882143,0.5879,0.565503571,0.5623,0.556921429,"FA"
"opdigits",0.594089286,0.466882143,0.36915,0.359975,0.332925,0.298603571,"FA"
"vehicle",0.505082143,0.487671429,0.464760714,0.422403571,0.409021429,0.400967857,"FA"
"waveform",0.229321429,0.231,0.230635714,0.23245,0.235064286,0.235992857,"FA"
"arrhythemia",0.451332143,0.432221429,0.425492857,0.4163,0.408560714,0.387307143,"FICA"
"autos",0.490825,0.518896429,0.475928571,0.475928571,0.490425,0.488135714,"FICA"
"audiology",0.628207143,0.600207143,0.560107143,0.560107143,0.555453571,0.5618,"FICA"
"abalone",0.777871429,0.777157143,0.7857,0.783092857,0.777646429,0.776710714,"FICA"
"bridge",0.442957143,0.454710714,0.480096429,0.445682143,0.425778571,0.419839286,"FICA"
"car",0.246682143,0.229614286,0.225517857,0.225989286,0.227796429,0.233953571,"FICA"
"cmc",0.563660714,0.562278571,0.557353571,0.556121429,0.556932143,0.558742857,"FICA"
"opdigits",0.544882143,0.421039286,0.378560714,0.361914286,0.357010714,0.3361,"FICA"
"vehicle",0.566464286,0.545485714,0.545942857,0.551903571,0.469678571,0.46125,"FICA"
"waveform",0.239607143,0.254707143,0.257792857,0.253078571,0.252371429,0.2536,"FICA"
"arrhythemia",0.4487,0.429728571,0.421357143,0.418885714,0.414096429,0.402657143,"K.Linear"
"autos",0.484371429,0.469582143,0.433607143,0.432725,0.429064286,0.431157143,"K.Linear"
"audiology",0.613596429,0.587760714,0.574492857,0.559996429,0.547175,0.547510714,"K.Linear"
"abalone",0.771882143,0.774860714,0.775764286,0.776410714,0.786364286,0.772207143,"K.Linear"
"bridge",0.441689286,0.446953571,0.458707143,0.608475,0.415814286,0.410260714,"K.Linear"
"car",0.239835714,0.221839286,0.230646429,0.225921429,0.218528571,0.227807143,"K.Linear"
"cmc",0.569246429,0.568664286,0.5621,0.561482143,0.55965,0.559985714,"K.Linear"
"opdigits",0.535514286,0.406171429,0.349928571,0.338514286,0.325917857,0.306814286,"K.Linear"
"vehicle",0.552628571,0.535975,0.525089286,0.517003571,0.448646429,0.435617857,"K.Linear"
"waveform",0.2403,0.241521429,0.242378571,0.242885714,0.244207143,0.245028571,"K.Linear"
"arrhythemia",0.536221429,0.487164286,0.487725,0.485042857,0.485753571,0.486464286,"K. RBF"
"autos",0.6122,0.613503571,0.612857143,0.608271429,0.605146429,0.598060714,"K. RBF"
"audiology",0.704192857,0.757634615,0.695292857,0.694760714,0.693089286,0.693153571,"K. RBF"
"abalone",0.808992857,0.792360714,0.790657143,0.812403571,0.788978571,0.787864286,"K. RBF"
"bridge",0.621414286,0.621414286,0.621414286,0.608475,0.621414286,0.621414286,"K. RBF"
