Acc,SAR,Dataset,Algorithm,runTime,CPUtime,usedMemory
85.79,29.06,FICA4hepatitis,DecisionStump,116,0.1561,9.07405
79.38,26.81,FICA4hepatitis,LibSVM,344,0.50065,12.91709
83.17,28.22,FICA4hepatitis,MultilayerPerceptron,1181,1.67937,14.19717
87.75,29.78,FICA4hepatitis,Logistic,156,1.83757,19.31794
87.12,29.55,FICA4hepatitis,SimpleLogistic,974,2.30003,34.43996
85.88,29.07,FICA4hepatitis,SMO,238,2.49183,63.4895
80.67,27.31,FICA4hepatitis,IBk,148,2.64183,63.4895
77.46,26.26,FICA4hepatitis,KStar,313,2.95031,74.55134
85.83,29.12,FICA4hepatitis,LWL,111,3.06659,80.0814
85.17,28.86,FICA4hepatitis,BayesNet,65,3.13593,81.46379
89.08,30.22,FICA4hepatitis,NaiveBayes,35,3.17605,82.8462
89.08,30.22,FICA4hepatitis,NaiveBayesUpdateable,41,3.21891,84.22858
85.79,29.1,FICA4hepatitis,AdaBoostM1,146,3.3633,93.91702
86.46,29.31,FICA4hepatitis,Bagging,261,3.62654,104.98666
79.38,26.82,FICA4hepatitis,Stacking,22,3.65108,106.36908
83.88,28.47,FICA4hepatitis,LogitBoost,214,3.81396,127.48028
79.38,26.82,FICA4hepatitis,Vote,1,3.8191,127.48028
85.17,28.86,FICA4hepatitis,DecisionTable,290,3.96913,9.12224
83.83,28.41,FICA4hepatitis,JRip,196,4.16515,16.83604
88.46,29.97,FICA4hepatitis,OneR,45,4.21265,18.12546
79.38,26.82,FICA4hepatitis,ZeroR,1,4.21581,18.12546
83.96,28.45,FICA4hepatitis,PART,144,4.36053,20.6974
79.83,27.05,FICA4hepatitis,RandomCommittee,225,4.58643,33.55499
83.25,28.21,FICA4hepatitis,J48,20,4.60672,34.84061
85.79,29.1,FICA4hepatitis,LMT,348,4.94633,18.89873
83.25,28.26,FICA4hepatitis,RandomForest,486,5.4243,98.74431
75.46,25.54,FICA4hepatitis,RandomTree,5,5.4395,98.74431
86.46,29.29,FICA4hepatitis,REPTree,3,5.44373,102.21541
73.81,25.07,FICA4lymph,DecisionStump,3,5.4559,102.21541
54.76,18.6,FICA4lymph,LibSVM,134,5.58821,105.68709
82.48,28.05,FICA4lymph,MultilayerPerceptron,1528,7.12063,105.68709
83.9,28.53,FICA4lymph,Logistic,197,7.32045,119.57216
84.52,28.74,FICA4lymph,SimpleLogistic,776,8.09692,213.30872
81.9,27.8,FICA4lymph,SMO,1254,9.05035,134.71684
77.05,26.17,FICA4lymph,IBk,5,9.05607,134.71684
76.48,26.03,FICA4lymph,KStar,166,9.22505,144.49339
77.81,26.47,FICA4lymph,LWL,50,9.27725,147.75217
75.76,25.78,FICA4lymph,BayesNet,13,9.29101,151.01099
78.48,26.69,FICA4lymph,NaiveBayes,11,9.30354,154.26978
78.48,26.69,FICA4lymph,NaiveBayesUpdateable,9,9.31415,154.26978
73.81,25.07,FICA4lymph,AdaBoostM1,48,9.36407,164.04712
80.38,27.35,FICA4lymph,Bagging,55,9.41968,177.08273
54.76,18.63,FICA4lymph,Stacking,6,9.42834,180.34152
78.43,26.68,FICA4lymph,LogitBoost,195,9.60296,308.82178
54.76,18.63,FICA4lymph,Vote,1,9.60537,308.82178
75.81,25.75,FICA4lymph,DecisionTable,52,9.65808,318.59814
78.38,26.64,FICA4lymph,JRip,59,9.7184,331.6333
73.05,24.8,FICA4lymph,OneR,3,9.72216,331.6333
54.76,18.63,FICA4lymph,ZeroR,0,9.72371,331.6333
83.86,28.5,FICA4lymph,PART,22,9.7474,334.89212
81.24,27.61,FICA4lymph,RandomCommittee,85,9.83316,347.93512
83.29,28.3,FICA4lymph,J48,17,9.85103,351.19391
84.52,28.74,FICA4lymph,LMT,528,10.38036,494.61337
82.48,28.05,FICA4lymph,RandomForest,449,10.745,73.92915
77.76,26.41,FICA4lymph,RandomTree,5,10.75047,79.2853
80.62,27.41,FICA4lymph,REPTree,2,10.75465,79.2853
64.07,21.73,FICA4cylinder-bands,DecisionStump,7,10.7682,79.2853
57.78,19.54,FICA4cylinder-bands,LibSVM,470,11.23976,100.71477
65.93,22.41,FICA4cylinder-bands,MultilayerPerceptron,3300,14.54437,106.07046
