"instan","classes","FSize","LCoef01","LCoef02","LCoef03","LCoef12","LCoef13","LCoef23","skew0","skew1","skew2","skew3","kurtosis0","kurtosis1","kurtosis2","kurtosis3","nCEntropy","entroC","toCorr","AdaBoostM1","Bagging","BayesNet","DecisionStump","DecisionTable","IBk","J48","JRip","KStar","LibSVM","LMT","Logistic","LogitBoost","LWL","MultilayerPerceptron","NaiveBayes","NaiveBayesUpdateable","OneR","PART","RandomCommittee","RandomForest","RandomTree","REPTree","SimpleLogistic","SMO","Stacking","Vote","ZeroR","CPUtime"
4177,28,151.48,8.72e-09,-1.66e-06,1.57e-08,-1.66e-07,-3.36e-08,1.31e-07,0.172345702,0.174971889,-0.627860006,-2.447426811,-0.891558321,-1.71923234,-0.927349216,2.449471921,2.113109761,1.898389217,12.21630902,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.67754
4177,28,151.48,8.72e-09,-1.66e-06,1.57e-08,-1.66e-07,-3.36e-08,1.31e-07,0.172345702,0.174971889,-0.627860006,-2.447426811,-0.891558321,-1.71923234,-0.927349216,2.449471921,2.113109761,1.898389217,12.21630902,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33107
4177,28,151.48,8.72e-09,-1.66e-06,1.57e-08,-1.66e-07,-3.36e-08,1.31e-07,0.172345702,0.174971889,-0.627860006,-2.447426811,-0.891558321,-1.71923234,-0.927349216,2.449471921,2.113109761,1.898389217,12.21630902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,392.61807
4177,28,151.48,8.72e-09,-1.66e-06,1.57e-08,-1.66e-07,-3.36e-08,1.31e-07,0.172345702,0.174971889,-0.627860006,-2.447426811,-0.891558321,-1.71923234,-0.927349216,2.449471921,2.113109761,1.898389217,12.21630902,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2040.5802
4177,28,151.48,8.72e-09,-1.66e-06,1.57e-08,-1.66e-07,-3.36e-08,1.31e-07,0.172345702,0.174971889,-0.627860006,-2.447426811,-0.891558321,-1.71923234,-0.927349216,2.449471921,2.113109761,1.898389217,12.21630902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2114.37451
4177,28,151.48,8.72e-09,-1.66e-06,1.57e-08,-1.66e-07,-3.36e-08,1.31e-07,0.172345702,0.174971889,-0.627860006,-2.447426811,-0.891558321,-1.71923234,-0.927349216,2.449471921,2.113109761,1.898389217,12.21630902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2134.39893
4177,28,151.48,8.72e-09,-1.66e-06,1.57e-08,-1.66e-07,-3.36e-08,1.31e-07,0.172345702,0.174971889,-0.627860006,-2.447426811,-0.891558321,-1.71923234,-0.927349216,2.449471921,2.113109761,1.898389217,12.21630902,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2135.3623
4177,28,151.48,8.72e-09,-1.66e-06,1.57e-08,-1.66e-07,-3.36e-08,1.31e-07,0.172345702,0.174971889,-0.627860006,-2.447426811,-0.891558321,-1.71923234,-0.927349216,2.449471921,2.113109761,1.898389217,12.21630902,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2347.37476
4177,28,151.48,8.72e-09,-1.66e-06,1.57e-08,-1.66e-07,-3.36e-08,1.31e-07,0.172345702,0.174971889,-0.627860006,-2.447426811,-0.891558321,-1.71923234,-0.927349216,2.449471921,2.113109761,1.898389217,12.21630902,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2465.19409
4177,28,151.48,8.72e-09,-1.66e-06,1.57e-08,-1.66e-07,-3.36e-08,1.31e-07,0.172345702,0.174971889,-0.627860006,-2.447426811,-0.891558321,-1.71923234,-0.927349216,2.449471921,2.113109761,1.898389217,12.21630902,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2465.66895
4177,28,151.48,8.72e-09,-1.66e-06,1.57e-08,-1.66e-07,-3.36e-08,1.31e-07,0.172345702,0.174971889,-0.627860006,-2.447426811,-0.891558321,-1.71923234,-0.927349216,2.449471921,2.113109761,1.898389217,12.21630902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2466.03271
4177,28,151.48,8.72e-09,-1.66e-06,1.57e-08,-1.66e-07,-3.36e-08,1.31e-07,0.172345702,0.174971889,-0.627860006,-2.447426811,-0.891558321,-1.71923234,-0.927349216,2.449471921,2.113109761,1.898389217,12.21630902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2466.31152
4177,28,151.48,8.72e-09,-1.66e-06,1.57e-08,-1.66e-07,-3.36e-08,1.31e-07,0.172345702,0.174971889,-0.627860006,-2.447426811,-0.891558321,-1.71923234,-0.927349216,2.449471921,2.113109761,1.898389217,12.21630902,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2466.49707
4177,28,151.48,8.72e-09,-1.66e-06,1.57e-08,-1.66e-07,-3.36e-08,1.31e-07,0.172345702,0.174971889,-0.627860006,-2.447426811,-0.891558321,-1.71923234,-0.927349216,2.449471921,2.113109761,1.898389217,12.21630902,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2470.67041
4177,28,151.48,8.72e-09,-1.66e-06,1.57e-08,-1.66e-07,-3.36e-08,1.31e-07,0.172345702,0.174971889,-0.627860006,-2.447426811,-0.891558321,-1.71923234,-0.927349216,2.449471921,2.113109761,1.898389217,12.21630902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2470.76782
4177,28,151.48,8.72e-09,-1.66e-06,1.57e-08,-1.66e-07,-3.36e-08,1.31e-07,0.172345702,0.174971889,-0.627860006,-2.447426811,-0.891558321,-1.71923234,-0.927349216,2.449471921,2.113109761,1.898389217,12.21630902,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2482.59351
4177,28,151.48,8.72e-09,-1.66e-06,1.57e-08,-1.66e-07,-3.36e-08,1.31e-07,0.172345702,0.174971889,-0.627860006,-2.447426811,-0.891558321,-1.71923234,-0.927349216,2.449471921,2.113109761,1.898389217,12.21630902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2482.64111
4177,28,151.48,8.72e-09,-1.66e-06,1.57e-08,-1.66e-07,-3.36e-08,1.31e-07,0.172345702,0.174971889,-0.627860006,-2.447426811,-0.891558321,-1.71923234,-0.927349216,2.449471921,2.113109761,1.898389217,12.21630902,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2484.78003
4177,28,151.48,8.72e-09,-1.66e-06,1.57e-08,-1.66e-07,-3.36e-08,1.31e-07,0.172345702,0.174971889,-0.627860006,-2.447426811,-0.891558321,-1.71923234,-0.927349216,2.449471921,2.113109761,1.898389217,12.21630902,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2495.14819
4177,28,151.48,8.72e-09,-1.66e-06,1.57e-08,-1.66e-07,-3.36e-08,1.31e-07,0.172345702,0.174971889,-0.627860006,-2.447426811,-0.891558321,-1.71923234,-0.927349216,2.449471921,2.113109761,1.898389217,12.21630902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2495.4375
4177,28,151.48,8.72e-09,-1.66e-06,1.57e-08,-1.66e-07,-3.36e-08,1.31e-07,0.172345702,0.174971889,-0.627860006,-2.447426811,-0.891558321,-1.71923234,-0.927349216,2.449471921,2.113109761,1.898389217,12.21630902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2495.4624
4177,28,151.48,8.72e-09,-1.66e-06,1.57e-08,-1.66e-07,-3.36e-08,1.31e-07,0.172345702,0.174971889,-0.627860006,-2.447426811,-0.891558321,-1.71923234,-0.927349216,2.449471921,2.113109761,1.898389217,12.21630902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2540.55396
4177,28,151.48,8.72e-09,-1.66e-06,1.57e-08,-1.66e-07,-3.36e-08,1.31e-07,0.172345702,0.174971889,-0.627860006,-2.447426811,-0.891558321,-1.71923234,-0.927349216,2.449471921,2.113109761,1.898389217,12.21630902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2546.56592
4177,28,151.48,8.72e-09,-1.66e-06,1.57e-08,-1.66e-07,-3.36e-08,1.31e-07,0.172345702,0.174971889,-0.627860006,-2.447426811,-0.891558321,-1.71923234,-0.927349216,2.449471921,2.113109761,1.898389217,12.21630902,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2548.71631
4177,28,151.48,8.72e-09,-1.66e-06,1.57e-08,-1.66e-07,-3.36e-08,1.31e-07,0.172345702,0.174971889,-0.627860006,-2.447426811,-0.891558321,-1.71923234,-0.927349216,2.449471921,2.113109761,1.898389217,12.21630902,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2877.37354
4177,28,151.48,8.72e-09,-1.66e-06,1.57e-08,-1.66e-07,-3.36e-08,1.31e-07,0.172345702,0.174971889,-0.627860006,-2.447426811,-0.891558321,-1.71923234,-0.927349216,2.449471921,2.113109761,1.898389217,12.21630902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2914.33398
