Accuracy,RMSE,Fscore,PRC,AUC,SAR,Dataset,nInstances,nClasses,nAttributes,Algorithm,runTime,CPUtime
90.74,0.27,0.86,0.89,0.76,30.74,PCA4sick-euthroid,3163,2,4,DecisionStump,204,354626534
92.1,0.28,0.9,0.87,0.62,31.15,PCA4sick-euthroid,3163,2,4,LibSVM,3573,3892743738
92.13,0.24,0.91,0.94,0.89,31.26,PCA4sick-euthroid,3163,2,4,MultilayerPerceptron,17685,21612172419
91.12,0.25,0.89,0.94,0.88,30.91,PCA4sick-euthroid,3163,2,4,Logistic,567,22180793468
91.27,0.25,0.89,0.94,0.88,30.97,PCA4sick-euthroid,3163,2,4,SimpleLogistic,4441,26577526553
90.74,0.3,0.86,0.83,0.5,30.64,PCA4sick-euthroid,3163,2,4,SMO,402,26979664247
91.4,0.29,0.91,0.89,0.73,30.95,PCA4sick-euthroid,3163,2,4,IBk,765,27750438808
92.79,0.23,0.92,0.96,0.92,31.5,PCA4sick-euthroid,3163,2,4,KStar,110317,1.37986E+11
90.74,0.27,0.86,0.94,0.87,30.78,PCA4sick-euthroid,3163,2,4,LWL,17948,1.55829E+11
90.42,0.27,0.91,0.93,0.87,30.67,PCA4sick-euthroid,3163,2,4,BayesNet,235,1.56058E+11
71.13,0.44,0.77,0.93,0.86,24.19,PCA4sick-euthroid,3163,2,4,NaiveBayes,122,1.56183E+11
71.13,0.44,0.77,0.93,0.86,24.19,PCA4sick-euthroid,3163,2,4,NaiveBayesUpdateable,39,1.56224E+11
89.95,0.26,0.88,0.92,0.87,30.52,PCA4sick-euthroid,3163,2,4,AdaBoostM1,637,1.56856E+11
92.79,0.23,0.92,0.95,0.91,31.49,PCA4sick-euthroid,3163,2,4,Bagging,1003,1.57847E+11
90.74,0.29,0.86,0.83,0.5,30.65,PCA4sick-euthroid,3163,2,4,Stacking,55,1.57905E+11
91.62,0.24,0.9,0.94,0.89,31.09,PCA4sick-euthroid,3163,2,4,LogitBoost,483,1.58371E+11
90.74,0.29,0.86,0.83,0.5,30.65,PCA4sick-euthroid,3163,2,4,Vote,11,1.58385E+11
91.15,0.25,0.9,0.93,0.87,30.92,PCA4sick-euthroid,3163,2,4,DecisionTable,578,1.58956E+11
92.26,0.25,0.92,0.89,0.71,31.24,PCA4sick-euthroid,3163,2,4,JRip,1104,1.60049E+11
90.8,0.3,0.89,0.85,0.59,30.7,PCA4sick-euthroid,3163,2,4,OneR,190,1.60242E+11
90.74,0.29,0.86,0.83,0.5,30.65,PCA4sick-euthroid,3163,2,4,ZeroR,4,1.6025E+11
92.29,0.25,0.92,0.92,0.83,31.29,PCA4sick-euthroid,3163,2,4,PART,399,1.60653E+11
92.19,0.25,0.92,0.93,0.86,31.27,PCA4sick-euthroid,3163,2,4,RandomCommittee,1261,1.61904E+11
92.32,0.25,0.92,0.91,0.81,31.29,PCA4sick-euthroid,3163,2,4,J48,188,1.62091E+11
92.13,0.25,0.92,0.94,0.88,31.25,PCA4sick-euthroid,3163,2,4,LMT,8859,1.70847E+11
93.08,0.23,0.93,0.96,0.92,31.59,PCA4sick-euthroid,3163,2,4,RandomForest,7334,1.78114E+11
90.99,0.3,0.91,0.89,0.73,30.81,PCA4sick-euthroid,3163,2,4,RandomTree,111,1.78237E+11
92.29,0.25,0.92,0.92,0.83,31.29,PCA4sick-euthroid,3163,2,4,REPTree,92,1.7832E+11
33.33,0.33,0.18,0.33,0.77,11.59,PCA4synthetic-control,600,6,4,DecisionStump,4,1.78336E+11
95.33,0.12,0.95,0.92,0.97,32.39,PCA4synthetic-control,600,6,4,LibSVM,392,1.78716E+11
94.5,0.11,0.94,0.99,1,32.13,PCA4synthetic-control,600,6,4,MultilayerPerceptron,7711,1.86412E+11
94.5,0.12,0.94,0.99,1,32.13,PCA4synthetic-control,600,6,4,Logistic,1174,1.87586E+11
95,0.12,0.95,0.99,1,32.29,PCA4synthetic-control,600,6,4,SimpleLogistic,1949,1.89527E+11
92.67,0.31,0.93,0.9,0.98,31.44,PCA4synthetic-control,600,6,4,SMO,624,1.90114E+11
93.5,0.14,0.93,0.89,0.96,31.77,PCA4synthetic-control,600,6,4,IBk,25,1.9014E+11
93.17,0.13,0.93,0.99,1,31.68,PCA4synthetic-control,600,6,4,KStar,3180,1.93325E+11
89.67,0.26,0.89,0.96,0.99,30.46,PCA4synthetic-control,600,6,4,LWL,871,1.942E+11
92.17,0.14,0.92,0.95,0.99,31.34,PCA4synthetic-control,600,6,4,BayesNet,26,1.94229E+11
93.5,0.13,0.93,0.98,1,31.79,PCA4synthetic-control,600,6,4,NaiveBayes,10,1.94243E+11
93.5,0.13,0.93,0.98,1,31.79,PCA4synthetic-control,600,6,4,NaiveBayesUpdateable,9,1.94256E+11
33.33,0.33,0.18,0.33,0.77,11.59,PCA4synthetic-control,600,6,4,AdaBoostM1,22,1.94281E+11
