dataset,2Features,3Features,4Features,5Features,6Features,7Features
arrhythemia,0.451332143,0.432221429,0.425492857,0.4163,0.408560714,0.387307143
autos,0.490825,0.518896429,0.475928571,0.475928571,0.490425,0.488135714
audiology,0.628207143,0.600207143,0.560107143,0.560107143,0.555453571,0.5618
abalone,0.777871429,0.777157143,0.7857,0.783092857,0.777646429,0.776710714
bridge,0.442957143,0.454710714,0.480096429,0.445682143,0.425778571,0.419839286
car,0.246682143,0.229614286,0.225517857,0.225989286,0.227796429,0.233953571
cmc,0.563660714,0.562278571,0.557353571,0.556121429,0.556932143,0.558742857
opdigits,0.544882143,0.421039286,0.378560714,0.361914286,0.357010714,0.3361
vehicle,0.566464286,0.545485714,0.545942857,0.551903571,0.469678571,0.46125
waveform,0.239607143,0.254707143,0.257792857,0.253078571,0.252371429,0.2536
