dataset,2Features,3Features,4Features,5Features,6Features,7Features
arrhythemia,0.4487,0.429728571,0.421357143,0.418885714,0.414096429,0.402657143
autos,0.484371429,0.469582143,0.433607143,0.432725,0.429064286,0.431157143
audiology,0.613596429,0.587760714,0.574492857,0.559996429,0.547175,0.547510714
abalone,0.771882143,0.774860714,0.775764286,0.776410714,0.786364286,0.772207143
bridge,0.441689286,0.446953571,0.458707143,0.608475,0.415814286,0.410260714
car,0.239835714,0.221839286,0.230646429,0.225921429,0.218528571,0.227807143
cmc,0.569246429,0.568664286,0.5621,0.561482143,0.55965,0.559985714
opdigits,0.535514286,0.406171429,0.349928571,0.338514286,0.325917857,0.306814286
vehicle,0.552628571,0.535975,0.525089286,0.517003571,0.448646429,0.435617857
waveform,0.2403,0.241521429,0.242378571,0.242885714,0.244207143,0.245028571
