dataset,2Features,3Features,4Features,5Features,6Features,7Features
arrhythemia,0.536221429,0.487164286,0.487725,0.485042857,0.485753571,0.486464286
autos,0.6122,0.613503571,0.612857143,0.608271429,0.605146429,0.598060714
audiology,0.704192857,0.757634615,0.695292857,0.694760714,0.693089286,0.693153571
abalone,0.808992857,0.792360714,0.790657143,0.812403571,0.788978571,0.787864286
bridge-version1,0.621414286,0.621414286,0.621414286,0.608475,0.621414286,0.621414286
car,0.2998,0.2999,0.301178571,0.301078571,0.26115,0.300457143
cmc,0.56255,0.560514286,0.5579,0.561564286,0.562628571,0.559757143
opdigits,0.806964286,0.799742857,0.797217857,0.75515,0.753467857,0.752557143
vehicle,0.600282143,0.587821429,0.579592857,0.574242857,0.561378571,0.524517857
waveform,0.536221429,0.527321429,0.518114286,0.504092857,0.496907143,0.495078571
