dataset,2Features,3Features,4Features,5Features,6Features,7Features
arrhythemia,0.449567857,0.429014286,0.421357143,0.420782143,0.41345,0.405339286
autos,0.486664286,0.468582143,0.434303571,0.431114286,0.428346429,0.434553571
audiology,0.610753571,0.589303571,0.573707143,0.556803571,0.552367857,0.536396429
abalone,0.772053571,0.7747,0.775942857,0.776585714,0.770778571,0.769960714
bridge-version1,0.441689286,0.446953571,0.458542857,0.438314286,0.4338,0.414114286
car,0.242178571,0.238125,0.234296429,0.214496429,0.215142857,0.206714286
cmc,0.569542857,0.568725,0.561492857,0.561467857,0.560082143,0.55855
opdigits,0.535885714,0.406785714,0.349725,0.338242857,0.326696429,0.307767857
vehicle,0.552628571,0.534339286,0.524296429,0.516953571,0.447271429,0.434639286
waveform,0.240035714,0.240842857,0.242164286,0.242164286,0.24285,0.245164286
