dataset,2Features,3Features,4Features,5Features,6Features,7Features
arrhythemia,0.451142857,0.429632143,0.422453571,0.417482143,0.4159,0.405339286
autos,0.488221429,0.469871429,0.44195,0.427989286,0.428721429,0.434553571
audiology,0.596235714,0.584853571,0.576878571,0.549696429,0.552367857,0.536396429
abalone,0.772164286,0.774860714,0.775428571,0.776121429,0.770403571,
bridge-version1,0.455232143,0.445039286,0.452346429,0.456235714,0.4338,0.436339286
car,0.227410714,0.238553571,0.238042857,0.221075,0.214157143,0.2218
cmc,0.566221429,0.567971429,0.561917857,0.561646429,0.560082143,0.55855
opdigits,0.536471429,0.406542857,0.349782143,0.338021429,0.32775,0.307767857
vehicle,0.553675,0.5361,0.526860714,0.518017857,0.446839286,0.434639286
waveform,0.241292857,0.239935714,0.241971429,0.242635714,0.24285,0.245421429
