dataset,2Features,3Features,4Features,5Features,6Features,7Features
arrhythemia,0.45145,0.429489286,0.422553571,0.418492857,0.412132143,0.4026
autos,0.487164286,0.465746429,0.432678571,0.429489286,0.427857143,0.438664286
audiology,0.613182143,0.591985714,0.574521429,0.556853571,0.551510714,0.544460714
abalone,0.772164286,0.774860714,0.775428571,0.776121429,0.770403571,
bridge-version1,0.441625,0.442635714,0.450167857,0.432078571,0.425321429,0.417371429
car,0.224146429,0.228246429,0.220682143,0.213771429,0.219075,0.196321429
cmc,0.566446429,0.568646429,0.561107143,0.561389286,0.560039286,0.55855
opdigits,0.53615,0.406075,0.350060714,0.338603571,0.326075,0.307121429
vehicle,0.553464286,0.535803571,0.52745,0.517975,0.446546429,0.434639286
waveform,0.239571429,0.2413,0.241357143,0.2434,0.244057143,0.245478571
